strain,genome,family,gene,product,go_function,ontology_term
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001312049.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001314460.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001326317.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001326849.1,,late promoter-activating protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001328192.1,shuT,heme ABC transporter substrate-binding protein ShuT,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001339231.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001361632.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001365039.1,,host cell division inhibitor Icd-like protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001370340.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001387312.1,,type I restriction-modification system subunit M,"DNA binding|0003677||IEA,N-methyltransferase activity|0008170||IEA","GO:0003677,GO:0008170"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001389735.1,sinH,intimin-like inverse autotransporter SinH,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001396581.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001445370.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001470211.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001513324.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001513538.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001521690.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001521714.1,,ShET2/EspL2 family type III secretion system effector toxin,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001521869.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001521910.1,,RNA-directed DNA polymerase,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001522501.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001550661.1,,type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001550750.1,,YadA family autotransporter adhesin,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001558852.1,glmS,methylaspartate mutase subunit S,methylaspartate mutase activity|0050097||IEA,GO:0050097
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001559743.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001577621.1,dptF,DNA phosphorothioation-dependent restriction protein DptF,,GO:0009307
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001577623.1,dptG,DNA phosphorothioation-dependent restriction protein DptG,,GO:0009307
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001577624.1,dptH,DNA phosphorothioation-dependent restriction protein DptH,,GO:0009307
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001577625.1,dndE,DNA sulfur modification protein DndE,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001577626.1,dndD,DNA sulfur modification protein DndD,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001577627.1,dndC,DNA phosphorothioation system sulfurtransferase DndC,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001577629.1,zorA1,type I Zorya anti-phage system protein ZorA1,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001577630.1,zorB1,type I Zorya anti-phage system protein ZorB1,,GO:0051607
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001577631.1,zorC,type I Zorya anti-phage system protein ZorC,,GO:0051607
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001577632.1,zorD,type I Zorya anti-phage system protein ZorD,,GO:0051607
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001578001.1,glmL,methylaspartate mutase accessory protein GlmL,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001578542.1,,helix-turn-helix domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001586827.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001589605.1,,restriction endonuclease subunit S,DNA binding|0003677||IEA,"GO:0006304,GO:0003677"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001589606.1,hsdR,EcoAI/FtnUII family type I restriction enzme subunit R,"DNA helicase activity|0003678||IEA,restriction endodeoxyribonuclease activity|0015666||IEA","GO:0009307,GO:0003678,GO:0015666"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001590410.1,,LysR family transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001592860.1,chuY,anaerobilin reductase,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001615627.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_001672356.1,,MBL fold metallo-hydrolase,"hydrolase activity|0016787||IEA,metal ion binding|0046872||IEA","GO:0016787,GO:0046872"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_015974270.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_016246567.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_021521050.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_021547149.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_021552210.1,dndB,DNA sulfur modification protein DndB,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_023278421.1,lysB,Rz-like lysis system protein LysB,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_023351539.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_024174129.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_024187336.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_024229285.1,,SRPBCC family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_024230068.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_024230069.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210084.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210085.1,,bifunctional metallophosphatase/5'-nucleotidase,"nucleotide binding|0000166||IEA,5'-nucleotidase activity|0008253||IEA,phosphoric ester hydrolase activity|0042578||IEA,metal ion binding|0046872||IEA","GO:0009166,GO:0000166,GO:0008253,GO:0042578,GO:0046872"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210098.1,,mannose/fructose/sorbose PTS transporter subunit IIA,phosphotransferase activity%2C alcohol group as acceptor|0016773||IEA,"GO:0008643,GO:0016773,GO:0005737"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210099.1,,sugar-binding transcriptional regulator,"DNA binding|0003677||IEA,carbohydrate binding|0030246||IEA","GO:0006355,GO:0003677,GO:0030246"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210149.1,,pentapeptide repeat-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210152.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210166.1,,sulfite exporter TauE/SafE family protein,,GO:0016020
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210167.1,,oxidoreductase,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210168.1,,aldo/keto reductase,oxidoreductase activity|0016491||IEA,GO:0016491
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210171.1,,sulfatase family protein,"sulfuric ester hydrolase activity|0008484||IEA,metal ion binding|0046872||IEA","GO:0008484,GO:0046872"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210172.1,,IS1/IS1595 family N-terminal zinc-binding domain-containing protein,"DNA binding|0003677||IEA,transposase activity|0004803||IEA","GO:0006310,GO:0015074,GO:0032196,GO:0003677,GO:0004803"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210209.1,tssG,type VI secretion system baseplate subunit TssG,,GO:0033103
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210210.1,tssF,type VI secretion system baseplate subunit TssF,,GO:0033103
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210211.1,tssE,type VI secretion system baseplate subunit TssE,,GO:0033103
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210216.1,prfH,peptide chain release factor H,translation release factor activity|0003747||IEA,"GO:0006415,GO:0003747"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210244.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210250.1,,pentapeptide repeat-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210259.1,,TolC family outer membrane protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210260.1,,type I secretion system permease/ATPase,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled lipid transmembrane transporter activity|0034040||IEA,ABC-type transporter activity|0140359||IEA","GO:0030253,GO:0005524,GO:0016887,GO:0034040,GO:0140359,GO:0030256"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210261.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210280.1,,RHS repeat-associated core domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210321.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210322.1,espX2,type III secretion system effector EspX2,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210401.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210402.1,,TonB-dependent receptor plug domain-containing protein,channel activity|0015267||IEA,"GO:0015891,GO:0055085,GO:0015267,GO:0009279,GO:0016020"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210414.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210431.1,,lytic transglycosylase domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210432.1,,bleomycin hydrolase,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210433.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210434.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210438.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210439.1,,phage protein DarA,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210440.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210441.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210442.1,,DUF2829 domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210446.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210448.1,,EAL domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210451.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210452.1,,DUF968 domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210458.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210462.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210465.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210466.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210467.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210468.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210470.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210473.1,,MarR family transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210474.1,,phage antirepressor KilAC domain-containing protein,DNA binding|0003677||IEA,GO:0003677
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210476.1,,phage antirepressor KilAC domain-containing protein,DNA binding|0003677||IEA,GO:0003677
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210478.1,,tail fiber domain-containing protein,,"GO:0019062,GO:0046718,GO:0098024"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210496.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210504.1,,carboxymuconolactone decarboxylase family protein,peroxiredoxin activity|0051920||IEA,GO:0051920
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210505.1,,putative quinol monooxygenase,"monooxygenase activity|0004497||IEA,oxidoreductase activity|0016491||IEA","GO:0017000,GO:0004497,GO:0016491"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210595.1,,tetratricopeptide repeat protein,protein binding|0005515||IEA,GO:0005515
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210597.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210608.1,,phosphomannomutase,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210609.1,,glycosyltransferase family 2 protein,glycosyltransferase activity|0016757||IEA,"GO:0006486,GO:0016757"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210615.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210641.1,,phage tail tape measure protein,structural molecule activity|0005198||IEA,"GO:0016032,GO:0005198"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210643.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210649.1,,adenylate/guanylate cyclase domain-containing protein,"nucleotide binding|0000166||IEA,cyclase activity|0009975||IEA,nucleotidyltransferase activity|0016779||IEA,lyase activity|0016829||IEA,metal ion binding|0046872||IEA","GO:0007165,GO:0009190,GO:0035556,GO:0000166,GO:0009975,GO:0016779,GO:0016829,GO:0046872"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210650.1,,Pycsar system effector family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210653.1,,DNZ54_00345 family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210657.1,,replication endonuclease,endonuclease activity|0004519||IEA,"GO:0006260,GO:0004519"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210671.1,gtdA,gentisate 1%2C2-dioxygenase,gentisate 1%2C2-dioxygenase activity|0047922||IEA,GO:0047922
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210672.1,,LysR substrate-binding domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210724.1,,phage head-binding domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210791.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210828.1,,YopN/LcrE/InvE/MxiC type III secretion system gatekeeper,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210830.1,,helix-turn-helix domain-containing protein,"DNA-binding transcription factor activity|0003700||IEA,sequence-specific DNA binding|0043565||IEA","GO:0006355,GO:0003700,GO:0043565"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210847.1,,prohibitin family protein,,"GO:0005743,GO:0016020,GO:0035632"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210877.1,,MurR/RpiR family transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210878.1,,TonB-dependent siderophore receptor,"channel activity|0015267||IEA,metal ion binding|0046872||IEA","GO:0015891,GO:0055085,GO:0015267,GO:0046872,GO:0009279,GO:0016020"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210879.1,,aryl-sulfate sulfotransferase,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210925.1,,fimbrial protein,,"GO:0007155,GO:0009289"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210929.1,,fimbrial protein,,"GO:0007155,GO:0009289"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210952.1,chuS,hematinate-forming heme oxygenase ChuS,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210953.1,hutW,heme anaerobic degradation radical SAM methyltransferase ChuW/HutW,"catalytic activity|0003824||IEA,iron-sulfur cluster binding|0051536||IEA","GO:0003824,GO:0051536"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025210981.1,,Fic family protein,"magnesium ion binding|0000287||IEA,ATP binding|0005524||IEA,protein homodimerization activity|0042803||IEA","GO:0000287,GO:0005524,GO:0042803"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025211025.1,tssD,type VI secretion system tube protein TssD,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025211033.1,,type 4 pilus major pilin,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025211034.1,,prepilin peptidase,aspartic-type endopeptidase activity|0004190||IEA,"GO:0004190,GO:0016020"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025211037.1,,tyrosine-type recombinase/integrase,DNA binding|0003677||IEA,"GO:0006310,GO:0015074,GO:0003677"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234902.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234903.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234904.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234907.1,,N-6 DNA methylase,"DNA binding|0003677||IEA,N-methyltransferase activity|0008170||IEA","GO:0003677,GO:0008170"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234908.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234909.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234917.1,,glycosyltransferase,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234918.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234919.1,,glycosyltransferase,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234920.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234922.1,,phage tail protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234929.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234931.1,,type II secretion system F family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234933.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234936.1,,ATPase%2C T2SS/T4P/T4SS family,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234941.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234945.1,pilV,shufflon system plasmid conjugative transfer pilus tip adhesin PilV,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234949.1,pilM,type IV pilus biogenesis protein PilM,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_025234951.1,pilO2,type 4b pilus protein PilO2,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_032157445.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_032158978.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_038428171.1,iatD,inverse autotransporter IatD,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_038428487.1,,transglycosylase SLT domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_038428612.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_038430334.1,traF,conjugal transfer protein TraF,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_051529561.1,pilP,type IV pilus biogenesis protein PilP,,GO:0009297
ST2747,GCF_000599665.1,GCF_000599665.1|WP_064734313.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_071527722.1,,ash family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_071847130.1,yidD,membrane protein insertion efficiency factor YidD,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_071849748.1,,host cell division inhibitor Icd-like protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_077768583.1,,DUF4387 family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_089642612.1,,IS3 family transposase,transposase activity|0004803||IEA,GO:0004803
ST2747,GCF_000599665.1,GCF_000599665.1|WP_106359433.1,,GmrSD restriction endonuclease domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_122987222.1,,type III secretion system needle length determinant%2C SpaN/EivJ family,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_128971871.1,,TcpQ domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_144318948.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_144318951.1,,acyltransferase family protein,acyltransferase activity%2C transferring groups other than amino-acyl groups|0016747||IEA,GO:0016747
ST2747,GCF_000599665.1,GCF_000599665.1|WP_144318952.1,,response regulator,,GO:0000160
ST2747,GCF_000599665.1,GCF_000599665.1|WP_144318953.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_158413075.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_162149578.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_170998677.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_198290423.1,,ester cyclase,,GO:0030638
ST2747,GCF_000599665.1,GCF_000599665.1|WP_200869267.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_205412756.1,,ash family protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_223362157.1,,DUF4942 domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_227534285.1,,CatB-related O-acetyltransferase,acyltransferase activity|0016746||IEA,"GO:0046677,GO:0016746"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_228336805.1,lysC,Rz1-like lysis system protein LysC,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440552.1,,prepilin peptidase,aspartic-type endopeptidase activity|0004190||IEA,"GO:0004190,GO:0016020"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440553.1,,adenylate/guanylate cyclase domain-containing protein,"nucleotide binding|0000166||IEA,cyclase activity|0009975||IEA,nucleotidyltransferase activity|0016779||IEA,lyase activity|0016829||IEA,metal ion binding|0046872||IEA","GO:0007165,GO:0009190,GO:0035556,GO:0000166,GO:0009975,GO:0016779,GO:0016829,GO:0046872"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440555.1,,type 4 pilus major pilin,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440556.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440558.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440559.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440560.1,,type 4 pilus major pilin,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440561.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440562.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440563.1,,laccase domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440564.1,,laccase domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440565.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440568.1,,phage tail protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_244440575.1,,transposase,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_263855729.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_280113839.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_280113840.1,,winged helix-turn-helix domain-containing protein,DNA binding|0003677||IEA,"GO:0000160,GO:0006355,GO:0003677"
ST2747,GCF_000599665.1,GCF_000599665.1|WP_280113841.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_280113842.1,traF,conjugal transfer protein TraF,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_348270232.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_348270360.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_416259109.1,,phage head spike fiber domain-containing protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_432263849.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_432263850.1,,hypothetical protein,,
ST2747,GCF_000599665.1,GCF_000599665.1|WP_432263851.1,,fimbrial protein,,"GO:0007155,GO:0009289"
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000004565.1,,TnsA endonuclease N-terminal domain-containing protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000076670.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000079941.1,yacA,type II toxin-antitoxin system antitoxin YacA,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000117616.1,,antirestriction protein ArdA,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000131874.1,,TIGR02594 family protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000139447.1,,replication protein P,,GO:0006270
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000145212.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000148286.1,,helix-turn-helix transcriptional regulator,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000192614.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000218849.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000224749.1,,ImmA/IrrE family metallo-endopeptidase,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000273163.1,,DUF4224 domain-containing protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000387403.1,,helix-turn-helix transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000421260.1,,type II toxin-antitoxin system RelE/ParE family toxin,toxin activity|0090729||IEA,"GO:0090729,GO:0110001"
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000444666.1,,phage tail assembly protein,,GO:0098003
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000642925.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000651125.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000785707.1,,hypothetical protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000853106.1,,helix-turn-helix domain-containing protein,,
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000860398.1,,ClpP-like prohead protease/major capsid protein fusion protein,serine-type endopeptidase activity|0004252||IEA,"GO:0019082,GO:0004252"
RM9387,GCF_000801165.1,GCF_000801165.1|WP_000916333.1,,hypothetical protein,,
